Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Lesotho,LSO,Africa,Southern Africa,1995,2,2080000000,56.83788,,750,
Liberia,LBR,Africa,Western Africa,1995,1,,50.16283,,,
Libya,LBY,Africa,Northern Africa,1995,3,,69.9509,,,
Liechtenstein,LIE,Europe,Western Europe,1995,4,,77.39024,,70160,
Lithuania,LTU,Europe,Northern Europe,1995,2,21500000000,69.00634,,,
Luxembourg,LUX,Europe,Western Europe,1995,5,16100000000,76.5122,,41800,
Macao,MAC,Asia,Eastern Asia,1995,4,12000000000,76.50207,,16900,
"Macedonia, FYR",MKD,Europe,Southern Europe,1995,2,9330000000,72.0668,,1720,
Madagascar,MDG,Africa,Eastern Africa,1995,1,13800000000,54.61405,,230,
Malawi,MWI,Africa,Eastern Africa,1995,1,5930000000,43.47871,,160,
Malaysia,MYS,Asia,South-eastern Asia,1995,3,218000000000,71.86312,,4000,
Maldives,MDV,Asia,Southern Asia,1995,2,,65.56049,,,
Mali,MLI,Africa,Western Africa,1995,1,9170000000,47.65498,,270,
Malta,MLT,Europe,Southern Europe,1995,3,4870000000,77.14146,,9160,
Marshall Islands,MHL,Oceania,Micronesia,1995,2,130000000,,,3040,
Mauritania,MRT,Africa,Western Africa,1995,1,4860000000,59.37949,,590,
Mauritius,MUS,Africa,Eastern Africa,1995,3,7240000000,70.32585,,3470,
Mexico,MEX,Americas,Central America,1995,3,753000000000,72.73978,,4570,
"Micronesia, Fed. Sts.",FSM,Oceania,Micronesia,1995,2,250000000,66.75976,,2210,
Moldova,MDA,Europe,Eastern Europe,1995,2,6980000000,66.72783,,,
Monaco,MCO,Europe,Western Europe,1995,4,,,,97000,
Mongolia,MNG,Asia,Eastern Asia,1995,1,7110000000,61.21059,,460,
Montenegro,MNE,Europe,Southern Europe,1995,0,,74.02222,,,
Morocco,MAR,Africa,Northern Africa,1995,2,78000000000,66.82068,,1290,
Mozambique,MOZ,Africa,Eastern Africa,1995,1,4290000000,45.89876,,160,
Myanmar,MMR,Asia,South-eastern Asia,1995,1,29200000000,60.41144,,,
Namibia,NAM,Africa,Southern Africa,1995,2,7120000000,60.09498,,2420,
Nauru,NRU,Oceania,Micronesia,1995,,,,,,
Nepal,NPL,Asia,Southern Asia,1995,1,21100000000,58.46441,,210,
Netherlands,NLD,Europe,Western Europe,1995,5,357000000000,77.40463,,27300,
New Caledonia,NCL,Oceania,Melanesia,1995,4,,72.00976,,18200,
New Zealand,NZL,Oceania,Australia and New Zealand,1995,5,65800000000,76.73415,,15300,
Nicaragua,NIC,Americas,Central America,1995,1,9970000000,67.34276,,620,
Niger,NER,Africa,Western Africa,1995,1,5420000000,47.129,,190,
Nigeria,NGA,Africa,Western Africa,1995,1,217000000000,46.11407,,170,
Northern Mariana Islands,MNP,Oceania,Micronesia,1995,4,,,,,
Norway,NOR,Europe,Northern Europe,1995,5,106000000000,77.73659,,32700,
Oman,OMN,Asia,Western Asia,1995,3,61600000000,69.98854,,6310,
Pakistan,PAK,Asia,Southern Asia,1995,1,301000000000,61.48529,,490,
Palau,PLW,Oceania,Micronesia,1995,0,177000000,71.84463,,5770,
Panama,PAN,Americas,Central America,1995,2,18398070714,74.12151,,3470,
Papua New Guinea,PNG,Oceania,Melanesia,1995,2,7360000000,57.35195,,1040,
Paraguay,PRY,Americas,South America,1995,2,23000000000,68.91522,,1680,
Peru,PER,Americas,South America,1995,2,109000000000,68.01544,,1920,
Philippines,PHL,Asia,South-eastern Asia,1995,2,202000000000,66.07056,,1020,
Poland,POL,Europe,Eastern Europe,1995,2,296000000000,71.89268,,3180,
Portugal,PRT,Europe,Southern Europe,1995,5,144000000000,75.3122,,11220,
Puerto Rico,PRI,Americas,Caribbean,1995,3,76900000000,74.12507,,7800,
Qatar,QAT,Asia,Western Asia,1995,4,,75.8699,,,
Romania,ROU,Europe,Eastern Europe,1995,2,124000000000,69.4561,,1500,
Russian Federation,RUS,Europe,Eastern Europe,1995,2,833000000000,65.22122,,2640,
Rwanda,RWA,Africa,Eastern Africa,1995,1,2870000000,31.63451,,210,
Samoa,WSM,Oceania,Polynesia,1995,2,457000000,67.51502,,,
San Marino,SMR,Europe,Southern Europe,1995,,,,,,
Sao Tome and Principe,STP,Africa,Middle Africa,1995,1,,62.57027,,,
Saudi Arabia,SAU,Asia,Western Asia,1995,3,486000000000,71.10929,,7710,
Senegal,SEN,Africa,Western Africa,1995,1,11200000000,57.37961,,560,
Serbia,SRB,Europe,Southern Europe,1995,,37200000000,,,,
Seychelles,SYC,Africa,Eastern Africa,1995,3,829000000,,,6460,
Sierra Leone,SLE,Africa,Western Africa,1995,1,2980000000,35.72478,,200,
Singapore,SGP,Asia,South-eastern Asia,1995,4,115000000000,76.29512,,23600,
Sint Maarten (Dutch part),SXM,Americas,Caribbean,1995,,,,,,
Slovak Republic,SVK,Europe,Eastern Europe,1995,2,46300000000,72.25366,,4200,
Slovenia,SVN,Europe,Southern Europe,1995,3,27000000000,73.95854,,,
Solomon Islands,SLB,Oceania,Melanesia,1995,2,598000000,59.69595,,900,
Somalia,SOM,Africa,Eastern Africa,1995,1,,47.16183,,,
South Africa,ZAF,Africa,Southern Africa,1995,3,277000000000,61.37002,,3850,
South Sudan,SSD,Africa,Eastern Africa,1995,0,,46.84551,,,
Spain,ESP,Europe,Southern Europe,1995,5,644000000000,77.98073,,15000,
Sri Lanka,LKA,Asia,Southern Asia,1995,1,59400000000,69.41861,,700,
St. Kitts and Nevis,KNA,Americas,Caribbean,1995,3,519000000,,,6800,
St. Lucia,LCA,Americas,Caribbean,1995,3,944000000,71.18095,,3540,
St. Martin (French part),MAF,Americas,Caribbean,1995,0,,75.97073,,,
St. Vincent and the Grenadines,VCT,Americas,Caribbean,1995,2,522000000,70.57751,,2890,
Sudan,SDN,Africa,Northern Africa,1995,1,42300000000,56.53307,,390,
Suriname,SUR,Americas,South America,1995,2,3130000000,67.80573,,1320,
Swaziland,SWZ,Africa,Southern Africa,1995,2,4040000000,56.3908,,1750,
Sweden,SWE,Europe,Northern Europe,1995,5,201000000000,78.74049,,28100,
Switzerland,CHE,Europe,Western Europe,1995,5,210000000000,78.41707,,45400,
Syrian Arab Republic,SYR,Asia,Western Asia,1995,2,,71.48144,,900,
Tajikistan,TJK,Asia,Central Asia,1995,1,5340000000,62.38749,,200,
Tanzania,TZA,Africa,Eastern Africa,1995,1,29000000000,48.69151,,170,
Thailand,THA,Asia,South-eastern Asia,1995,2,407000000000,70.20061,,2750,
Timor-Leste,TLS,Asia,South-eastern Asia,1995,0,,53.68832,,,
Togo,TGO,Africa,Western Africa,1995,1,3740000000,54.72488,,300,
Tonga,TON,Oceania,Polynesia,1995,2,299000000,70.11927,,2010,
Trinidad and Tobago,TTO,Americas,Caribbean,1995,3,11700000000,68.38376,,3890,
Tunisia,TUN,Africa,Northern Africa,1995,2,40700000000,71.35366,,1820,
Turkey,TUR,Asia,Western Asia,1995,2,438000000000,66.98193,,2850,
Turkmenistan,TKM,Asia,Central Asia,1995,2,14115437090,63.03024,,610,
Turks and Caicos Islands,TCA,Americas,Caribbean,1995,,,,,,
Tuvalu,TUV,Oceania,Polynesia,1995,,18100000,,,,
Uganda,UGA,Africa,Eastern Africa,1995,1,13900000000,43.78332,,230,
Ukraine,UKR,Europe,Eastern Europe,1995,2,190000000000,67.13707,,920,
United Arab Emirates,ARE,Asia,Western Asia,1995,4,182000000000,73.11507,,,
United Kingdom,GBR,Europe,Northern Europe,1995,5,1170000000000,76.83659,,21000,
United States,USA,Americas,Northern America,1995,5,7660000000000,75.62195,,29150,
Uruguay,URY,Americas,South America,1995,3,27100000000,73.53844,,5530,
Uzbekistan,UZB,Asia,Central Asia,1995,2,37200000000,66.31683,,580,
Vanuatu,VUT,Oceania,Melanesia,1995,2,320000000,65.45934,,1270,
"Venezuela, RB",VEN,Americas,South America,1995,2,248000000000,70.92693,,2910,
Vietnam,VNM,Asia,South-eastern Asia,1995,1,107000000000,71.85222,,260,
Virgin Islands (U.S.),VIR,Americas,Caribbean,1995,4,,76.2629,,,
West Bank and Gaza,PSE,Asia,Western Asia,1995,0,5030000000,69.61532,,,
"Yemen, Rep.",YEM,Asia,Western Asia,1995,1,39500000000,59.23641,,310,
Zambia,ZMB,Africa,Eastern Africa,1995,1,13520099691,42.03829,,370,
Zimbabwe,ZWE,Africa,Eastern Africa,1995,1,20499041327,50.239,,600,
Taiwan,TWN,Asia,Eastern Asia,1995,4,332000000000,75.47,,13326,
Afghanistan,AFG,Asia,Southern Asia,1996,1,,53.60205,,,
Albania,ALB,Europe,Southern Europe,1996,2,9850000000,72.52741,,920,
Algeria,DZA,Africa,Northern Africa,1996,2,208000000000,68.50922,,1510,
American Samoa,ASM,Oceania,Polynesia,1996,3,,,,,
Andorra,AND,Europe,Southern Europe,1996,,,,,18990,
Angola,AGO,Africa,Middle Africa,1996,1,34900000000,42.50163,,400,
Antigua and Barbuda,ATG,Americas,Caribbean,1996,3,930000000,72.53885,,7130,
Argentina,ARG,Americas,South America,1996,3,382000000000,72.88734,,7700,
Armenia,ARM,Asia,Western Asia,1996,1,5500000000,69.21685,,520,
Aruba,ABW,Americas,Caribbean,1996,4,,73.58944,,,
Australia,AUS,Oceania,Australia and New Zealand,1996,5,404000000000,78.07805,,20500,
Austria,AUT,Europe,Western Europe,1996,5,195000000000,76.87073,,30100,
Azerbaijan,AZE,Asia,Western Asia,1996,1,19186921181,64.994,,400,
"Bahamas, The",BHS,Americas,Caribbean,1996,4,4790000000,71.39044,,15900,
Bahrain,BHR,Asia,Western Asia,1996,3,18700000000,73.7751,,10800,
Bangladesh,BGD,Asia,Southern Asia,1996,1,132000000000,62.62956,,360,
Barbados,BRB,Americas,Caribbean,1996,3,2540571847,72.4888,,8950,
Belarus,BLR,Europe,Eastern Europe,1996,2,41000000000,68.6122,,1450,
Belgium,BEL,Europe,Western Europe,1996,5,233000000000,77.18732,,28800,
Belize,BLZ,Americas,Central America,1996,2,968000000,69.2198,,2890,
Benin,BEN,Africa,Western Africa,1996,1,6929832339,54.8318,,340,
Bermuda,BMU,Americas,Northern America,1996,4,1910000000,,,,
Bhutan,BTN,Asia,Southern Asia,1996,1,1170000000,57.20576,,560,
Bolivia,BOL,Americas,South America,1996,2,24100000000,58.42495,,910,
Bosnia and Herzegovina,BIH,Europe,Southern Europe,1996,1,8890000000,72.2088,,750,
Botswana,BWA,Africa,Southern Africa,1996,2,11000000000,54.33612,,2970,
Brazil,BRA,Americas,South America,1996,3,1360000000000,68.10973,,4470,
British Virgin Islands,VGB,Americas,Caribbean,1996,,,,,,
Brunei Darussalam,BRN,Asia,South-eastern Asia,1996,4,19547410468,74.44432,,16330,
Bulgaria,BGR,Europe,Eastern Europe,1996,2,47000000000,70.89732,,1300,
Burkina Faso,BFA,Africa,Western Africa,1996,1,7430000000,49.44351,,250,
Burundi,BDI,Africa,Eastern Africa,1996,1,3540000000,49.46261,,140,
Cabo Verde,CPV,Africa,Western Africa,1996,2,779502549,68.12315,,1330,
Cambodia,KHM,Asia,South-eastern Asia,1996,1,9200000000,55.58602,,310,
Cameroon,CMR,Africa,Middle Africa,1996,1,23736334326,52.99054,,650,
Canada,CAN,Americas,Northern America,1996,5,709000000000,78.23049,,20600,
Cayman Islands,CYM,Americas,Caribbean,1996,4,,,,,
Central African Republic,CAF,Africa,Middle Africa,1996,1,2050000000,46.34549,,290,
Chad,TCD,Africa,Middle Africa,1996,1,5530000000,47.48083,,200,
Channel Islands,CHI,Europe,Western Europe,1996,4,,76.62788,,,
Chile,CHL,Americas,South America,1996,3,115000000000,75.24161,,5020,
China,CHN,Asia,Eastern Asia,1996,6,2520000000000,70.19983,,650,
Colombia,COL,Americas,South America,1996,2,240000000000,69.74837,,2470,
Comoros,COM,Africa,Eastern Africa,1996,1,501000000,58.94717,,450,
"Congo, Dem. Rep.",COD,Africa,Middle Africa,1996,1,22400000000,48.99695,,130,
"Congo, Rep.",COG,Africa,Middle Africa,1996,1,9930000000,51.65983,,470,
Costa Rica,CRI,Americas,Central America,1996,2,23600000000,76.7418,,3230,
Cote d'Ivoire,CIV,Africa,Western Africa,1996,1,33700000000,48.79024,,710,
Croatia,HRV,Europe,Southern Europe,1996,3,39500000000,72.36537,,,
Cuba,CUB,Americas,Caribbean,1996,2,80500000000,75.67563,,2700,
Curacao,CUW,Americas,Caribbean,1996,,,,,,
Cyprus,CYP,Asia,Western Asia,1996,4,11300000000,77.4191,,14200,
Czech Republic,CZE,Europe,Eastern Europe,1996,3,150000000000,73.71463,,5930,
Denmark,DNK,Europe,Northern Europe,1996,5,125000000000,75.59146,,35000,
Djibouti,DJI,Africa,Eastern Africa,1996,2,1110000000,57.03841,,750,
Dominica,DMA,Americas,Caribbean,1996,2,393000000,,,3080,
Dominican Republic,DOM,Americas,Caribbean,1996,2,38800000000,69.91634,,2140,
Ecuador,ECU,Americas,South America,1996,2,66800000000,71.60473,,2080,
"Egypt, Arab Rep.",EGY,Africa,Northern Africa,1996,2,312000000000,67.2321,,1020,
El Salvador,SLV,Americas,Central America,1996,2,24255108679,67.56483,,1730,
Equatorial Guinea,GNQ,Africa,Middle Africa,1996,1,1070000000,50.76163,,400,
Eritrea,ERI,Africa,Eastern Africa,1996,1,3980000000,53.22854,,200,
Estonia,EST,Europe,Northern Europe,1996,2,9660000000,69.6122,,,
Ethiopia,ETH,Africa,Eastern Africa,1996,1,27497046129,49.80995,,150,
Faroe Islands,FRO,Europe,Northern Europe,1996,4,,77.61707,,,
Fiji,FJI,Oceania,Melanesia,1996,2,3790000000,66.84024,,2660,
Finland,FIN,Europe,Northern Europe,1996,5,103000000000,76.69341,,25000,
France,FRA,Europe,Western Europe,1996,5,1280000000000,77.95366,,27300,
French Polynesia,PYF,Oceania,Polynesia,1996,4,,70.94337,,18000,
Gabon,GAB,Africa,Middle Africa,1996,3,16600000000,60.5921,,4090,
"Gambia, The",GMB,Africa,Western Africa,1996,1,1170000000,53.82802,,750,
Georgia,GEO,Asia,Western Asia,1996,2,8980000000,70.45195,,650,
Germany,DEU,Europe,Western Europe,1996,5,1980000000000,76.67317,,30900,
Ghana,GHA,Africa,Western Africa,1996,1,26900000000,57.34078,,380,
Gibraltar,GIB,Europe,Southern Europe,1996,,,,,,
Greece,GRC,Europe,Southern Europe,1996,5,171000000000,77.68537,,13430,
Greenland,GRL,Americas,Northern America,1996,4,,65.76732,,20800,
Grenada,GRD,Americas,Caribbean,1996,2,583000000,69.48632,,2790,
Guam,GUM,Oceania,Micronesia,1996,4,,73.69917,,,
Guatemala,GTM,Americas,Central America,1996,2,44500000000,65.52722,,1430,
Guinea,GIN,Africa,Western Africa,1996,1,6370000000,51.6978,,470,
Guinea-Bissau,GNB,Africa,Western Africa,1996,1,1540000000,50.77724,,220,
Guyana,GUY,Americas,South America,1996,1,2380000000,64.37946,,860,
Haiti,HTI,Americas,Caribbean,1996,1,10200000000,56.59495,,,
Honduras,HND,Americas,Central America,1996,1,14400000000,69.26151,,660,
Hong Kong,HKG,Asia,Eastern Asia,1996,4,154000000000,79.62683,,24000,
Hungary,HUN,Europe,Eastern Europe,1996,3,96100000000,70.32878,,4400,
Iceland,ISL,Europe,Northern Europe,1996,5,6720000000,78.7778,,27200,
India,IND,Asia,Southern Asia,1996,1,1580000000000,60.91561,,410,
Indonesia,IDN,Asia,South-eastern Asia,1996,2,948000000000,65.30583,,1090,
Iraq,IRQ,Asia,Western Asia,1996,2,109000000000,68.78346,,,
Ireland,IRL,Europe,Northern Europe,1996,5,74500000000,75.83171,,19100,
Isle of Man,IMN,Europe,Northern Europe,1996,,,,,,
Israel,ISR,Asia,Western Asia,1996,4,118000000000,78.10488,,16600,
Italy,ITA,Europe,Southern Europe,1996,5,1310000000000,78.52195,,21800,
Jamaica,JAM,Americas,Caribbean,1996,2,15900000000,71.9682,,2310,
Japan,JPN,Asia,Eastern Asia,1996,5,3090000000000,80.20024,,43200,
Jordan,JOR,Asia,Western Asia,1996,2,23900000000,71.09568,,1520,
Kazakhstan,KAZ,Asia,Central Asia,1996,2,97700000000,64.10976,,1340,
Kenya,KEN,Africa,Eastern Africa,1996,1,46600000000,53.4,,340,
Kiribati,KIR,Oceania,Micronesia,1996,2,111000000,62.83732,,1090,
North Korea,PRK,Asia,Eastern Asia,1996,2,,65.1242,,,
South Korea,KOR,Asia,Eastern Asia,1996,5,663000000000,73.83122,,13100,
Kosovo,XKX,Europe,Southern Europe,1996,0,,68.7,,,
Kuwait,KWT,Asia,Western Asia,1996,4,97500000000,72.98507,,20700,
Kyrgyz Republic,KGZ,Asia,Central Asia,1996,1,6150250536,66.5439,,390,
Lao PDR,LAO,Asia,South-eastern Asia,1996,1,7360000000,56.65683,,380,
Latvia,LVA,Europe,Northern Europe,1996,2,14200000000,68.77659,,,
Lebanon,LBN,Asia,Western Asia,1996,2,29500000000,72.51717,,4210,
Lesotho,LSO,Africa,Southern Africa,1996,1,2220000000,55.10693,,760,
Liberia,LBR,Africa,Western Africa,1996,1,,50.97951,,,
Libya,LBY,Africa,Northern Africa,1996,3,,70.10102,,,
Liechtenstein,LIE,Europe,Western Europe,1996,4,,76.83659,,78600,
Lithuania,LTU,Europe,Northern Europe,1996,2,23000000000,70.10805,,,
Luxembourg,LUX,Europe,Western Europe,1996,5,17100000000,76.51951,,44200,
Macao,MAC,Asia,Eastern Asia,1996,4,12200000000,76.73441,,17100,
"Macedonia, FYR",MKD,Europe,Southern Europe,1996,2,9610000000,72.29229,,2110,
Madagascar,MDG,Africa,Eastern Africa,1996,1,14300000000,55.427,,240,
Malawi,MWI,Africa,Eastern Africa,1996,1,6480000000,43.55895,,170,
Malaysia,MYS,Asia,South-eastern Asia,1996,3,244000000000,72.07261,,4450,
Maldives,MDV,Asia,Southern Asia,1996,2,,66.40371,,,
Mali,MLI,Africa,Western Africa,1996,1,10000000000,47.79746,,270,
Malta,MLT,Europe,Southern Europe,1996,3,5200000000,77.14146,,9670,
Marshall Islands,MHL,Oceania,Micronesia,1996,2,118000000,,,2640,
Mauritania,MRT,Africa,Western Africa,1996,1,5230000000,59.5531,,650,
Mauritius,MUS,Africa,Eastern Africa,1996,3,7780000000,70.32293,,3780,
Mexico,MEX,Americas,Central America,1996,3,803000000000,73.0989,,4320,
"Micronesia, Fed. Sts.",FSM,Oceania,Micronesia,1996,2,246000000,66.86771,,2150,
Moldova,MDA,Europe,Eastern Europe,1996,1,6690000000,66.6291,,,
Monaco,MCO,Europe,Western Europe,1996,4,,,,101000,
Mongolia,MNG,Asia,Eastern Asia,1996,1,7400000000,61.44805,,550,
Montenegro,MNE,Europe,Southern Europe,1996,0,,73.77878,,,
Morocco,MAR,Africa,Northern Africa,1996,2,89300000000,67.1491,,1500,
Mozambique,MOZ,Africa,Eastern Africa,1996,1,5540000000,46.56341,,200,
Myanmar,MMR,Asia,South-eastern Asia,1996,1,31700000000,60.7459,,,
Namibia,NAM,Africa,Southern Africa,1996,2,7480000000,59.33639,,2450,
Nauru,NRU,Oceania,Micronesia,1996,,,,,,
Nepal,NPL,Asia,Southern Asia,1996,1,22600000000,59.27729,,210,
Netherlands,NLD,Europe,Western Europe,1996,5,376000000000,77.43561,,29400,
New Caledonia,NCL,Oceania,Melanesia,1996,4,,71.99756,,18200,
New Zealand,NZL,Oceania,Australia and New Zealand,1996,5,68900000000,76.7878,,16700,
Nicaragua,NIC,Americas,Central America,1996,1,10800000000,67.818,,880,
Niger,NER,Africa,Western Africa,1996,1,5710000000,47.83959,,190,
Nigeria,NGA,Africa,Western Africa,1996,1,232000000000,46.15978,,230,
Northern Mariana Islands,MNP,Oceania,Micronesia,1996,4,,,,,
Norway,NOR,Europe,Northern Europe,1996,5,117000000000,78.15049,,35800,
Oman,OMN,Asia,Western Asia,1996,3,64600000000,70.49076,,6520,
Pakistan,PAK,Asia,Southern Asia,1996,1,321000000000,61.74795,,500,
Palau,PLW,Oceania,Micronesia,1996,3,199151305,,,6350,
Panama,PAN,Americas,Central America,1996,2,19500000000,74.32541,,3560,
Papua New Guinea,PNG,Oceania,Melanesia,1996,2,8070000000,57.63085,,1020,
Paraguay,PRY,Americas,South America,1996,2,23800000000,69.1128,,1850,
Peru,PER,Americas,South America,1996,2,114000000000,68.52376,,2120,
Philippines,PHL,Asia,South-eastern Asia,1996,2,217000000000,66.19776,,1160,
Poland,POL,Europe,Eastern Europe,1996,3,319000000000,72.24634,,3770,
Portugal,PRT,Europe,Southern Europe,1996,5,150000000000,75.26098,,12100,
Puerto Rico,PRI,Americas,Caribbean,1996,3,80500000000,74.36249,,8150,
Qatar,QAT,Asia,Western Asia,1996,4,,76.00249,,,
Romania,ROU,Europe,Eastern Europe,1996,2,131000000000,69.10488,,1650,
Russian Federation,RUS,Europe,Eastern Europe,1996,2,817000000000,66.19415,,2610,
Rwanda,RWA,Africa,Eastern Africa,1996,1,3300000000,35.6592,,220,
Samoa,WSM,Oceania,Polynesia,1996,2,499028473,67.95427,,,
San Marino,SMR,Europe,Southern Europe,1996,0,,79.11951,,,
Sao Tome and Principe,STP,Africa,Middle Africa,1996,1,,62.71832,,,
Saudi Arabia,SAU,Asia,Western Asia,1996,3,511000000000,71.44329,,8020,
Senegal,SEN,Africa,Western Africa,1996,1,11700000000,57.31934,,540,
Serbia,SRB,Europe,Southern Europe,1996,,38800000000,,,,
Seychelles,SYC,Africa,Eastern Africa,1996,3,886000000,,,6740,
Sierra Leone,SLE,Africa,Western Africa,1996,1,3090000000,35.97415,,230,
Singapore,SGP,Asia,South-eastern Asia,1996,4,126000000000,76.59512,,25600,
Sint Maarten (Dutch part),SXM,Americas,Caribbean,1996,,,,,,
Slovak Republic,SVK,Europe,Eastern Europe,1996,3,50300000000,72.65366,,5000,
Slovenia,SVN,Europe,Southern Europe,1996,3,28400000000,74.45854,,,
Solomon Islands,SLB,Oceania,Melanesia,1996,2,619000000,60.29659,,890,
Somalia,SOM,Africa,Eastern Africa,1996,1,,48.07761,,,
South Africa,ZAF,Africa,Southern Africa,1996,3,294000000000,60.60546,,3870,
South Sudan,SSD,Africa,Eastern Africa,1996,0,,47.39395,,,
Spain,ESP,Europe,Southern Europe,1996,5,675000000000,78.12049,,15700,
Sri Lanka,LKA,Asia,Southern Asia,1996,1,62700000000,69.37273,,750,
St. Kitts and Nevis,KNA,Americas,Caribbean,1996,3,559000000,,,7150,
St. Lucia,LCA,Americas,Caribbean,1996,3,1010000000,71.15749,,3720,
St. Martin (French part),MAF,Americas,Caribbean,1996,0,,76.17073,,,
St. Vincent and the Grenadines,VCT,Americas,Caribbean,1996,2,538000000,70.59178,,3000,
Sudan,SDN,Africa,Northern Africa,1996,1,45578490724,56.78595,,380,
Suriname,SUR,Americas,South America,1996,2,3230000000,67.83434,,1640,
Swaziland,SWZ,Africa,Southern Africa,1996,2,4270000000,55.00451,,1850,
Sweden,SWE,Europe,Northern Europe,1996,5,209000000000,78.95902,,30400,
Switzerland,CHE,Europe,Western Europe,1996,5,216000000000,78.8961,,48400,
Syrian Arab Republic,SYR,Asia,Western Asia,1996,2,,71.7421,,860,
Tajikistan,TJK,Asia,Central Asia,1996,1,4530000000,62.5632,,170,
Tanzania,TZA,Africa,Eastern Africa,1996,1,30900000000,48.74812,,190,
Thailand,THA,Asia,South-eastern Asia,1996,2,438000000000,70.22788,,2970,
Timor-Leste,TLS,Asia,South-eastern Asia,1996,0,,54.94312,,,
Togo,TGO,Africa,Western Africa,1996,1,4150000000,54.32961,,310,
Tonga,TON,Oceania,Polynesia,1996,2,304000000,70.23851,,2280,
Trinidad and Tobago,TTO,Americas,Caribbean,1996,3,12800000000,68.43083,,4230,
Tunisia,TUN,Africa,Northern Africa,1996,2,44500000000,71.55366,,2010,
Turkey,TUR,Asia,Western Asia,1996,2,476000000000,67.58622,,2920,
Turkmenistan,TKM,Asia,Central Asia,1996,2,15300000000,63.20983,,610,
Turks and Caicos Islands,TCA,Americas,Caribbean,1996,,,,,,
Tuvalu,TUV,Oceania,Polynesia,1996,,17300000,,,,
Uganda,UGA,Africa,Eastern Africa,1996,1,15469199529,43.95741,,280,
Ukraine,UKR,Europe,Eastern Europe,1996,2,174000000000,66.8878,,860,
United Arab Emirates,ARE,Asia,Western Asia,1996,4,196000000000,73.38393,,,
United Kingdom,GBR,Europe,Northern Europe,1996,5,1250000000000,77.0878,,22580,
United States,USA,Americas,Northern America,1996,5,8100000000000,76.02683,,30400,
Uruguay,URY,Americas,South America,1996,3,29096270936,73.76988,,6160,
Uzbekistan,UZB,Asia,Central Asia,1996,2,38600000000,66.43178,,600,
Vanuatu,VUT,Oceania,Melanesia,1996,2,334000000,65.89949,,1280,
"Venezuela, RB",VEN,Americas,South America,1996,2,252000000000,71.21571,,2960,
Vietnam,VNM,Asia,South-eastern Asia,1996,1,119000000000,72.13156,,310,
Virgin Islands (U.S.),VIR,Americas,Caribbean,1996,4,,76.53656,,,
West Bank and Gaza,PSE,Asia,Western Asia,1996,0,5500000000,69.88788,,1520,
"Yemen, Rep.",YEM,Asia,Western Asia,1996,1,42000000000,59.4962,,290,
Zambia,ZMB,Africa,Eastern Africa,1996,1,14623018430,42.0248,,400,
Zimbabwe,ZWE,Africa,Eastern Africa,1996,1,23035877684,48.08763,,670,
Taiwan,TWN,Asia,Eastern Asia,1996,4,359000000000,76.02,,13836,
Afghanistan,AFG,Asia,Southern Asia,1997,1,,54.01783,,,
Albania,ALB,Europe,Southern Europe,1997,1,8932819723,72.8981,,830,
Algeria,DZA,Africa,Northern Africa,1997,2,214000000000,68.92122,,1500,
American Samoa,ASM,Oceania,Polynesia,1997,3,,,,,
Andorra,AND,Europe,Southern Europe,1997,,,,,20200,
Angola,AGO,Africa,Middle Africa,1997,1,38400000000,43.06212,,430,
Antigua and Barbuda,ATG,Americas,Caribbean,1997,3,992000000,72.75756,,7620,
Argentina,ARG,Americas,South America,1997,3,420000000000,73.10805,,8110,
Armenia,ARM,Asia,Western Asia,1997,1,5780000000,69.71641,,560,
Aruba,ABW,Americas,Caribbean,1997,4,,73.6148,,,
Australia,AUS,Oceania,Australia and New Zealand,1997,5,426000000000,78.48049,,22000,
Austria,AUT,Europe,Western Europe,1997,5,202000000000,77.31951,,29600,
Azerbaijan,AZE,Asia,Western Asia,1997,1,20600000000,65.46239,,450,
"Bahamas, The",BHS,Americas,Caribbean,1997,4,4980000000,71.54988,,13700,
Bahrain,BHR,Asia,Western Asia,1997,3,19597880352,73.99161,,10260,
Bangladesh,BGD,Asia,Southern Asia,1997,1,141000000000,63.35788,,390,
Barbados,BRB,Americas,Caribbean,1997,3,2710000000,72.68422,,9360,
Belarus,BLR,Europe,Eastern Europe,1997,2,46500000000,68.46098,,1530,
Belgium,BEL,Europe,Western Europe,1997,5,243000000000,77.37073,,28700,
Belize,BLZ,Americas,Central America,1997,2,1020000000,68.90185,,2890,
Benin,BEN,Africa,Western Africa,1997,1,7450000000,54.84232,,370,
Bermuda,BMU,Americas,Northern America,1997,4,2033508194,,,,
Bhutan,BTN,Asia,Southern Asia,1997,1,1250000000,58.03524,,610,
Bolivia,BOL,Americas,South America,1997,2,25700000000,58.98861,,960,
Bosnia and Herzegovina,BIH,Europe,Southern Europe,1997,1,12200000000,72.85873,,1000,
Botswana,BWA,Africa,Southern Africa,1997,3,12100000000,52.47461,,3110,
Brazil,BRA,Americas,South America,1997,3,1430000000000,68.61639,,5030,
British Virgin Islands,VGB,Americas,Caribbean,1997,,,,,,
Brunei Darussalam,BRN,Asia,South-eastern Asia,1997,4,19600000000,74.66217,,16300,
Bulgaria,BGR,Europe,Eastern Europe,1997,2,47300000000,70.35122,,1330,
