Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Monaco,MCO,Europe,Western Europe,2009,4,,,,,
Mongolia,MNG,Asia,Eastern Asia,2009,2,19000000000,67.0768,,1790,
Montenegro,MNE,Europe,Southern Europe,2009,3,8030000000,74.68783,,6710,
Morocco,MAR,Africa,Northern Africa,2009,2,198000000000,72.14822,,2900,
Mozambique,MOZ,Africa,Eastern Africa,2009,1,20200000000,52.69127,,480,
Myanmar,MMR,Asia,South-eastern Asia,2009,1,165000000000,64.64356,,630,
Namibia,NAM,Africa,Southern Africa,2009,3,16800000000,61.4409,,4120,
Nauru,NRU,Oceania,Micronesia,2009,,,,,4580,
Nepal,NPL,Asia,Southern Asia,2009,1,49600000000,67.51839,,490,
Netherlands,NLD,Europe,Western Europe,2009,5,729000000000,80.54878,,53500,
New Caledonia,NCL,Oceania,Melanesia,2009,4,,76.96585,,,
New Zealand,NZL,Oceania,Australia and New Zealand,2009,5,132000000000,80.70244,,29600,
Nicaragua,NIC,Americas,Central America,2009,2,21700000000,73.25478,,1410,
Niger,NER,Africa,Western Africa,2009,1,11900000000,57.28502,,330,
Nigeria,NGA,Africa,Western Africa,2009,2,733000000000,50.86856,,1160,
Northern Mariana Islands,MNP,Oceania,Micronesia,2009,4,,,,,
Norway,NOR,Europe,Northern Europe,2009,5,268000000000,80.79512,,87800,
Oman,OMN,Asia,Western Asia,2009,4,127000000000,75.7621,,18500,
Pakistan,PAK,Asia,Southern Asia,2009,2,696000000000,64.8761,,1060,
Palau,PLW,Oceania,Micronesia,2009,3,238000000,,,8640,
Panama,PAN,Americas,Central America,2009,3,51400000000,76.67695,,6650,
Papua New Guinea,PNG,Oceania,Melanesia,2009,2,13300000000,61.80805,,1180,
Paraguay,PRY,Americas,South America,2009,2,38700000000,72.10232,,2450,
Peru,PER,Americas,South America,2009,3,261000000000,73.43615,,3940,
Philippines,PHL,Asia,South-eastern Asia,2009,2,472000000000,67.68105,,2490,
Poland,POL,Europe,Eastern Europe,2009,5,735000000000,75.69512,,12400,
Portugal,PRT,Europe,Southern Europe,2009,5,280000000000,78.72683,,22840,
Puerto Rico,PRI,Americas,Caribbean,2009,4,127000000000,78.15327,,16500,
Qatar,QAT,Asia,Western Asia,2009,4,180000000000,77.6298,,63700,
Romania,ROU,Europe,Eastern Europe,2009,3,326000000000,73.30976,,8810,
Russian Federation,RUS,Europe,Eastern Europe,2009,3,2770000000000,68.60488,,9230,
Rwanda,RWA,Africa,Eastern Africa,2009,1,12300000000,60.46598,,500,
Samoa,WSM,Oceania,Polynesia,2009,2,968619333,72.13068,,3030,
San Marino,SMR,Europe,Southern Europe,2009,4,,82.99554,,,
Sao Tome and Principe,STP,Africa,Middle Africa,2009,2,419000000,65.67261,,1110,
Saudi Arabia,SAU,Asia,Western Asia,2009,4,1150000000000,73.56427,,17900,
Senegal,SEN,Africa,Western Africa,2009,2,26200000000,63.28678,,1030,
Serbia,SRB,Europe,Southern Europe,2009,3,86700000000,73.98537,,6040,
Seychelles,SYC,Africa,Eastern Africa,2009,3,1670000000,73.03415,,10200,
Sierra Leone,SLE,Africa,Western Africa,2009,1,7220000000,47.35022,,490,
Singapore,SGP,Asia,South-eastern Asia,2009,4,307000000000,81.24146,,37100,
Sint Maarten (Dutch part),SXM,Americas,Caribbean,2009,0,,75.5878,,,
Slovak Republic,SVK,Europe,Eastern Europe,2009,5,124000000000,74.90976,,17100,
Slovenia,SVN,Europe,Southern Europe,2009,4,56100000000,78.97073,,24400,
Solomon Islands,SLB,Oceania,Melanesia,2009,1,852000000,66.82468,,820,
Somalia,SOM,Africa,Eastern Africa,2009,1,,53.68934,,,
South Africa,ZAF,Africa,Southern Africa,2009,3,576000000000,53.4671,,5910,
South Sudan,SSD,Africa,Eastern Africa,2009,0,35000000000,53.12266,,,
Spain,ESP,Europe,Southern Europe,2009,5,1500000000000,81.47561,,32800,
Sri Lanka,LKA,Asia,Southern Asia,2009,2,154000000000,74.28029,,2020,
St. Kitts and Nevis,KNA,Americas,Caribbean,2009,3,1090000000,,,13500,
St. Lucia,LCA,Americas,Caribbean,2009,3,1840000000,74.26605,,6700,
St. Martin (French part),MAF,Americas,Caribbean,2009,0,,78.57073,,,
St. Vincent and the Grenadines,VCT,Americas,Caribbean,2009,3,1090000000,72.15007,,6270,
Sudan,SDN,Africa,Northern Africa,2009,2,140000000000,61.60239,,1130,
Suriname,SUR,Americas,South America,2009,3,6920000000,70.0929,,7110,
Swaziland,SWZ,Africa,Southern Africa,2009,2,8610000000,47.89276,,3000,
Sweden,SWE,Europe,Northern Europe,2009,5,369000000000,81.35122,,51900,
Switzerland,CHE,Europe,Western Europe,2009,5,400000000000,82.0439,,70200,
Syrian Arab Republic,SYR,Asia,Western Asia,2009,2,,73.12041,,,
Tajikistan,TJK,Asia,Central Asia,2009,1,14600000000,68.17054,,660,
Tanzania,TZA,Africa,Eastern Africa,2009,1,85200000000,60.50951,,640,
Thailand,THA,Asia,South-eastern Asia,2009,2,816000000000,73.46173,,4160,
Timor-Leste,TLS,Asia,South-eastern Asia,2009,2,1800000000,66.94668,,2350,
Togo,TGO,Africa,Western Africa,2009,1,7310000000,56.63061,,440,
Tonga,TON,Oceania,Polynesia,2009,2,485000000,72.03176,,3310,
Trinidad and Tobago,TTO,Americas,Caribbean,2009,4,38900000000,69.61059,,16200,
Tunisia,TUN,Africa,Northern Africa,2009,2,104000000000,74.45122,,4110,
Turkey,TUR,Asia,Western Asia,2009,3,1050000000000,73.80322,,9140,
Turkmenistan,TKM,Asia,Central Asia,2009,2,44833439598,64.88354,,3570,
Turks and Caicos Islands,TCA,Americas,Caribbean,2009,4,,,,,
Tuvalu,TUV,Oceania,Polynesia,2009,2,31500000,,,5130,
Uganda,UGA,Africa,Eastern Africa,2009,1,47800000000,55.1821,,500,
Ukraine,UKR,Europe,Eastern Europe,2009,2,333000000000,69.19,,2840,
United Arab Emirates,ARE,Asia,Western Asia,2009,4,455000000000,76.49478,,36000,
United Kingdom,GBR,Europe,Northern Europe,2009,5,2140000000000,80.05122,,43940,
United States,USA,Americas,Northern America,2009,5,14400000000000,78.39024,,48050,
Uruguay,URY,Americas,South America,2009,3,51800000000,76.24859,,8770,
Uzbekistan,UZB,Asia,Central Asia,2009,2,108000000000,67.74456,,1160,
Vanuatu,VUT,Oceania,Melanesia,2009,2,663000000,70.55583,,2620,
"Venezuela, RB",VEN,Americas,South America,2009,3,472000000000,73.568,,10200,
Vietnam,VNM,Asia,South-eastern Asia,2009,2,355000000000,74.82261,,1120,
Virgin Islands (U.S.),VIR,Americas,Caribbean,2009,4,,79.07317,,,
West Bank and Gaza,PSE,Asia,Western Asia,2009,0,15000000000,72.0511,,2110,
"Yemen, Rep.",YEM,Asia,Western Asia,2009,2,95000000000,62.48534,,1080,
Zambia,ZMB,Africa,Eastern Africa,2009,1,39857780140,55.21417,,1260,
Zimbabwe,ZWE,Africa,Eastern Africa,2009,1,16868352554,47.62466,,400,
Taiwan,TWN,Asia,Eastern Asia,2009,4,798000000000,77.96,,17531,
Afghanistan,AFG,Asia,Southern Asia,2010,1,45600000000,58.97083,,520,
Albania,ALB,Europe,Southern Europe,2010,3,28100000000,77.03695,,4360,
Algeria,DZA,Africa,Northern Africa,2010,3,455000000000,73.80405,,4470,
American Samoa,ASM,Oceania,Polynesia,2010,3,,,,,
Andorra,AND,Europe,Southern Europe,2010,,,,,41700,
Angola,AGO,Africa,Middle Africa,2010,2,135000000000,50.65417,,3570,
Antigua and Barbuda,ATG,Americas,Caribbean,2010,3,1757859214,75.30878,,12620,
Argentina,ARG,Americas,South America,2010,3,759000000000,75.48498,,9240,
Armenia,ARM,Asia,Western Asia,2010,2,18900000000,74.22634,,3370,
Aruba,ABW,Americas,Caribbean,2010,4,,74.95354,,,
Australia,AUS,Oceania,Australia and New Zealand,2010,5,863000000000,81.69512,,46500,
Austria,AUT,Europe,Western Europe,2010,5,350000000000,80.58049,,49400,
Azerbaijan,AZE,Asia,Western Asia,2010,3,141000000000,70.45132,,5370,
"Bahamas, The",BHS,Americas,Caribbean,2010,4,8093827393,74.59239,,21660,
Bahrain,BHR,Asia,Western Asia,2010,4,49300000000,76.12756,,18700,
Bangladesh,BGD,Asia,Southern Asia,2010,1,364000000000,70.08029,,780,
Barbados,BRB,Americas,Caribbean,2010,4,4200000000,74.84529,,15900,
Belarus,BLR,Europe,Eastern Europe,2010,3,146000000000,70.40488,,5990,
Belgium,BEL,Europe,Western Europe,2010,5,437000000000,80.18293,,47800,
Belize,BLZ,Americas,Central America,2010,2,2490000000,69.78205,,3990,
Benin,BEN,Africa,Western Africa,2010,1,16400000000,58.72971,,760,
Bermuda,BMU,Americas,Northern America,2010,4,3600000000,79.28854,,110000,
Bhutan,BTN,Asia,Southern Asia,2010,2,4580000000,67.89241,,1990,
Bolivia,BOL,Americas,South America,2010,2,52500000000,66.40776,,1810,
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2010,3,34700000000,75.80768,,4780,
Botswana,BWA,Africa,Southern Africa,2010,3,26323148831,63.40229,,5480,
Brazil,BRA,Americas,South America,2010,3,2800000000000,73.26415,,9650,
British Virgin Islands,VGB,Americas,Caribbean,2010,,,,,,
Brunei Darussalam,BRN,Asia,South-eastern Asia,2010,4,30700000000,77.59827,,32900,
Bulgaria,BGR,Europe,Eastern Europe,2010,3,111000000000,73.5122,,6910,
Burkina Faso,BFA,Africa,Western Africa,2010,1,21800000000,57.05139,,590,
Burundi,BDI,Africa,Eastern Africa,2010,1,6560000000,54.8292,,200,
Cabo Verde,CPV,Africa,Western Africa,2010,2,2870000000,72.5979,,3410,
Cambodia,KHM,Asia,South-eastern Asia,2010,1,35400000000,66.38566,,750,
Cameroon,CMR,Africa,Middle Africa,2010,2,51900000000,53.69483,,1170,
Canada,CAN,Americas,Northern America,2010,5,1360000000000,81.41293,,44400,
Cayman Islands,CYM,Americas,Caribbean,2010,4,,,,,
Central African Republic,CAF,Africa,Middle Africa,2010,1,3870000000,47.62532,,470,
Chad,TCD,Africa,Middle Africa,2010,1,22400000000,49.86207,,910,
Channel Islands,CHI,Europe,Western Europe,2010,4,,80.01037,,,
Chile,CHL,Americas,South America,2010,3,311000000000,80.2758,,10800,
China,CHN,Asia,Eastern Asia,2010,6,12500000000000,75.00741,,4340,
Colombia,COL,Americas,South America,2010,3,490000000000,73.27785,,5540,
Comoros,COM,Africa,Eastern Africa,2010,1,954000000,61.83051,,780,
"Congo, Dem. Rep.",COD,Africa,Middle Africa,2010,1,38500000000,56.89615,,300,
"Congo, Rep.",COG,Africa,Middle Africa,2010,2,22300000000,59.14312,,2230,
Costa Rica,CRI,Americas,Central America,2010,3,57900000000,78.73605,,7230,
Cote d'Ivoire,CIV,Africa,Western Africa,2010,2,53800000000,50.15146,,1210,
Croatia,HRV,Europe,Southern Europe,2010,4,84800000000,76.47561,,13800,
Cuba,CUB,Americas,Caribbean,2010,3,204000000000,78.93563,,5570,
Curacao,CUW,Americas,Caribbean,2010,4,,,,,
Cyprus,CYP,Asia,Western Asia,2010,4,27600000000,79.38195,,31300,
Czech Republic,CZE,Europe,Eastern Europe,2010,5,290000000000,77.42439,,19200,
Denmark,DNK,Europe,Northern Europe,2010,5,237000000000,79.1,,60800,
Djibouti,DJI,Africa,Eastern Africa,2010,2,2200000000,60.36068,,,
Dominica,DMA,Americas,Caribbean,2010,3,714000000,,,6700,
Dominican Republic,DOM,Americas,Caribbean,2010,3,108000000000,72.7498,,5290,
Ecuador,ECU,Americas,South America,2010,3,137000000000,75.0298,,4410,
"Egypt, Arab Rep.",EGY,Africa,Northern Africa,2010,2,812000000000,70.34029,,2390,
El Salvador,SLV,Americas,Central America,2010,2,44100000000,71.67061,,3450,
Equatorial Guinea,GNQ,Africa,Middle Africa,2010,4,31400000000,55.971,,12900,
Eritrea,ERI,Africa,Eastern Africa,2010,1,6090000000,61.46615,,380,
Estonia,EST,Europe,Northern Europe,2010,5,28800000000,75.42927,,14500,
Ethiopia,ETH,Africa,Eastern Africa,2010,1,92300000000,61.29612,,380,
Faroe Islands,FRO,Europe,Northern Europe,2010,4,,80.63902,,,
Fiji,FJI,Oceania,Melanesia,2010,2,6190000000,69.38437,,3650,
Finland,FIN,Europe,Northern Europe,2010,5,208000000000,79.87073,,49300,
France,FRA,Europe,Western Europe,2010,5,2340000000000,81.66341,,43800,
French Polynesia,PYF,Oceania,Polynesia,2010,4,,75.69539,,,
