Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Mali,1996,26,47.8,1,4,0.01,123.6,0,52.5,37,8.6,7.02,990,19.39,4.64,17.93,9700,,39.02,,54.11,,,41.22,9.27,33.01,29.41,48.08,,,1.05,,16.3,,,,,,,74.77
Mexico,1996,73.7,73.1,6,5,1.05,27.3,0.2,50.7,37.9,5.2,2.98,8060,18.96,21.7,0.07,12000,,37.56,33,18.36,,20.34,60.59,59.02,26.32,64.71,49.04,9.04,,14.7,1445.33,71.5,,,26.87,,96.15,15.45,14.09
Mongolia,1996,56.8,61.45,3,2,0.04,59.4,0.02,78,55.1,6.2,2.57,3160,26.2,19.28,15.02,100,,52.68,,67.63,,8.18,33.82,40.98,49.28,44.61,60.58,9.6,,16.17,1085.66,45.9,,,1.93,,84.63,,18.21
Pakistan,1996,32.1,61.75,3,2,0.05,95.2,0,38.3,13.6,5.3,5.2,2550,19,14.47,1.64,1000,,8.78,10,12.56,,16.05,50.35,30.73,28.71,30.88,28.85,13.82,,,360.16,29.6,,,18.42,,,6.93,15.92
Panama,1996,59,74.33,6,5,0.25,23.3,0.22,156,43.2,14.5,2.83,6780,40.41,26.98,0.51,1000,,42.44,,47.34,,14.73,70.35,57.56,42.58,68.63,51.44,10.57,,29.17,1085.21,63.8,,,12.96,,,9.08,15.64
Papua New Guinea,1996,13.9,57.63,3,6,0.05,60.5,0,107.8,69.6,2.7,4.65,1520,22.75,33.75,8.12,3200,,41.46,,20.77,,9.4,30.05,45.37,28.23,28.92,53.37,22.46,,3.17,,19.6,,,,,,,53.23
Peru,1996,71.4,68.52,6,3,0.82,39.7,0.25,31.7,54.3,6.5,3.23,4410,22.59,17.57,0.63,5000,,51.71,,16.43,,16.92,58.68,55.12,29.19,73.53,33.65,14.2,,25.61,588.72,59,,,,,88.04,,17.21
Philippines,1996,48.2,66.2,3,2,1.35,32.6,0.06,89.8,49.2,7.4,3.96,3160,24.02,15.23,1.04,500,,51.22,26.9,30.43,,22.81,47.3,49.76,50.72,59.8,55.77,16.94,,28.79,428.33,61.1,,,97.35,,95.68,,20.1
Russia,1996,73.4,66.19,6,7,0.15,22,0.27,47.9,51.8,9.7,1.28,5440,23.67,27.89,,,,15.61,25.8,12.08,,,54.12,32.68,23.44,39.22,40.87,,,44.69,5016.45,72.6,,,,,,,3.6
Rwanda,1996,11.4,35.66,1,4,0,120.3,0,32.2,85.6,0.6,6.03,540,14.37,-5.8,34,20000,,20,,3.86,,11.54,34.72,11.22,2.39,7.35,6.25,,,,,41.6,,,,,,,73.33
Senegal,1996,39.8,57.32,1,4,0.02,71.2,0.01,59.7,63.6,10.5,5.94,1290,11.73,5.95,11.49,4300,,49.27,,22.22,,16.98,55.74,57.07,44.5,43.14,51.92,14.25,,,109.74,38.4,,,,,49.72,,55.15
South Africa,1996,55,60.61,6,7,2.26,49.4,0.84,46.7,45.5,21,3.04,6830,18.04,19.53,0.25,750000,,78.54,56.8,31.88,,20.36,62.2,79.02,50.24,62.75,73.56,23.21,,,4969.57,54.5,,,163.66,,,60.39,33.81
