Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
Peru,1990,65.53044,880,2,74900000000,Americas,South America,PER
Philippines,1990,65.28807,720,2,161000000000,Asia,South-eastern Asia,PHL
Poland,1990,70.89024,,2,235000000000,Europe,Eastern Europe,POL
Portugal,1990,73.96585,7140,3,117000000000,Europe,Southern Europe,PRT
Puerto Rico,1990,74.16917,6150,3,57800000000,Americas,Caribbean,PRI
Qatar,1990,75.11607,,4,,Asia,Western Asia,QAT
Romania,1990,69.74122,,2,122000000000,Europe,Eastern Europe,ROU
Russian Federation,1990,68.90244,,,1190000000000,Europe,Eastern Europe,RUS
Rwanda,1990,33.48512,350,1,3990000000,Africa,Eastern Africa,RWA
Samoa,1990,65.04041,,2,384000000,Oceania,Polynesia,WSM
San Marino,1990,,,,,Europe,Southern Europe,SMR
Sao Tome and Principe,1990,61.77144,,1,,Africa,Middle Africa,STP
Saudi Arabia,1990,69.16702,7230,3,374000000000,Asia,Western Asia,SAU
Senegal,1990,57.1831,710,2,9000000000,Africa,Western Africa,SEN
Serbia,1990,,,,,Europe,Southern Europe,SRB
Seychelles,1990,,5000,3,639000000,Africa,Eastern Africa,SYC
Sierra Leone,1990,37.35341,200,1,3490000000,Africa,Western Africa,SLE
Singapore,1990,75.29512,11500,4,67500000000,Asia,South-eastern Asia,SGP
Sint Maarten (Dutch part),1990,,,,,Americas,Caribbean,SXM
Slovak Republic,1990,70.93268,,,,Europe,Eastern Europe,SVK
Slovenia,1990,73.20488,,,,Europe,Southern Europe,SVN
Solomon Islands,1990,56.70476,,1,361000000,Oceania,Melanesia,SLB
Somalia,1990,45.38934,,1,,Africa,Eastern Africa,SOM
South Africa,1990,62.12007,3390,3,236000000000,Africa,Southern Africa,ZAF
South Sudan,1990,43.51876,,,,Africa,Eastern Africa,SSD
Spain,1990,76.83756,12200,5,530000000000,Europe,Southern Europe,ESP
Sri Lanka,1990,69.67949,470,1,40500000000,Asia,Southern Asia,LKA
St. Kitts and Nevis,1990,,4940,3,378000000,Americas,Caribbean,KNA
St. Lucia,1990,71.04944,2730,2,709000000,Americas,Caribbean,LCA
St. Martin (French part),1990,74.52195,,,,Americas,Caribbean,MAF
St. Vincent and the Grenadines,1990,70.07666,2110,2,387000000,Americas,Caribbean,VCT
Sudan,1990,55.51446,530,1,29200000000,Africa,Northern Africa,SDN
Suriname,1990,67.50188,1430,3,2790000000,Americas,South America,SUR
Swaziland,1990,59.3452,1230,2,3080000000,Africa,Southern Africa,SWZ
Sweden,1990,77.53683,27760,5,172000000000,Europe,Northern Europe,SWE
Switzerland,1990,77.24244,36900,5,185000000000,Europe,Western Europe,CHE
Syrian Arab Republic,1990,70.10627,910,2,,Asia,Western Asia,SYR
Tajikistan,1990,62.86478,,,12400000000,Asia,Central Asia,TJK
Tanzania,1990,49.97756,200,1,23600000000,Africa,Eastern Africa,TZA
Thailand,1990,70.23061,1490,2,243000000000,Asia,South-eastern Asia,THA
Timor-Leste,1990,48.48473,,,,Asia,South-eastern Asia,TLS
Togo,1990,55.84844,400,1,3300000000,Africa,Western Africa,TGO
Tonga,1990,69.58232,1220,2,220000000,Oceania,Polynesia,TON
Trinidad and Tobago,1990,68.0229,3710,3,9680000000,Americas,Caribbean,TTO
Tunisia,1990,70.30732,1430,2,29900000000,Africa,Northern Africa,TUN
Turkey,1990,64.28234,2300,2,331000000000,Asia,Western Asia,TUR
Turkmenistan,1990,62.67415,,,19800000000,Asia,Central Asia,TKM
Turks and Caicos Islands,1990,,,,,Americas,Caribbean,TCA
Tuvalu,1990,,,,13800000,Oceania,Polynesia,TUV
Uganda,1990,45.05627,320,1,8800000000,Africa,Eastern Africa,UGA
Ukraine,1990,70.13659,,,351000000000,Europe,Eastern Europe,UKR
