PerceivedRuleOfLaw,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kenya,,16.27,,13.88,,22.97,,21.53,21.53,19.62,21.05,21.53,16.75,15.87,16.11,17.06,17.37,22.54,27.7,38.46,36.54
Lebanon,,44.02,,42.58,,47.85,,46.89,42.11,45.45,43.54,31.58,26.79,29.81,29.86,30.33,30.52,28.17,25.35,24.04,24.52
Mali,,33.01,,33.49,,37.32,,44.5,52.15,47.85,49.28,47.37,50.72,45.67,45.02,40.28,37.56,30.52,26.76,29.33,25
Mexico,,26.32,,32.06,,37.8,,43.06,41.63,40.67,40.19,40.67,36.36,26.92,33.65,34.12,35.21,35.21,35.21,37.5,37.5
Mongolia,,49.28,,51.67,,48.8,,56.94,55.98,51.2,46.41,44.98,44.02,42.31,46.45,43.13,46.95,43.19,43.66,41.35,40.87
Pakistan,,28.71,,24.88,,19.62,,28.23,28.23,20.57,21.53,23.44,21.53,19.23,21.33,27.49,19.72,19.25,21.13,23.56,23.56
Panama,,42.58,,45.93,,44.5,,49.28,47.85,50.24,49.76,50.24,48.8,50,51.66,51.66,55.87,49.3,47.89,54.33,53.37
Papua New Guinea,,28.23,,28.71,,23.92,,17.22,9.57,18.18,13.88,19.62,17.7,17.79,17.54,18.48,24.41,23,17.84,21.15,18.75
Peru,,29.19,,29.19,,29.67,,35.89,32.54,36.36,29.19,25.84,24.88,25,30.81,33.18,30.99,33.33,33.8,33.17,34.62
Philippines,,50.72,,52.15,,38.28,,38.28,36.36,34.45,42.11,43.06,39.23,36.06,34.12,33.65,36.15,37.09,42.25,43.27,42.31
Russia,,23.44,,18.66,,13.4,,23.92,20.1,19.14,20.57,20.1,18.18,20.19,25.59,26.07,26.76,23.94,24.88,26.44,26.44
Rwanda,,2.39,,4.78,,7.66,,20.57,22.49,23.44,19.62,28.71,34.93,37.98,37.44,45.97,46.48,47.42,51.17,61.06,60.1
Senegal,,44.5,,50.72,,52.15,,54.07,50.24,50.72,53.11,49.28,47.37,47.12,43.6,41.23,39.44,46.48,46.48,53.85,51.92
South Africa,,50.24,,55.98,,55.02,,54.55,53.59,56.46,54.55,59.33,55.02,54.81,56.87,57.82,58.69,58.22,58.22,63.94,59.13
Sri Lanka,,56.94,,53.11,,56.94,,60.77,60.29,59.33,56.94,57.42,57.42,54.33,53.55,53.55,53.05,52.58,46.95,51.92,59.62
Tunisia,,45.93,,46.89,,47.37,,50.72,49.76,58.37,55.98,57.89,58.37,57.69,60.66,59.72,51.17,51.17,48.83,52.88,56.25
Venezuela,,22.97,,22.97,,23.44,,12.44,8.61,10.53,10.05,6.22,2.87,1.92,2.37,1.42,1.41,0.94,0.94,0.48,0.48
Vietnam,,37.32,,39.23,,41.63,,33.97,38.76,37.8,45.93,41.63,42.58,40.87,39.81,34.6,38.97,38.97,39.91,44.71,46.15
