Country,ISO,Region,Year,World Bank Classification,r_Gross Domestic Product (PPP),y_Life Expectancy (years),x_GNI per capita (US$)
Vietnam,VNM,Asia,1990,1,64100000000,70.4,130
Virgin Islands (U.S.),VIR,Americas,1990,4,,74.8,
West Bank and Gaza,PSE,Asia,1990,0,,68.1,
"Yemen, Rep.",YEM,Asia,1990,2,25900000000,57.8,
Zambia,ZMB,Africa,1990,1,12150601755,44.3,430
Zimbabwe,ZWE,Africa,1990,2,17118317122,59.6,860
Taiwan,TWN,Asia,1990,4,205000000000,74.5,8431
Afghanistan,AFG,Asia,1991,1,,50.6,
Albania,ALB,Europe,1991,2,6510000000,71.9,420
Algeria,DZA,Africa,1991,2,175000000000,67.0,1990
American Samoa,ASM,Oceania,1991,3,,,
Andorra,AND,Europe,1991,,,,18300
Angola,AGO,Africa,1991,2,35300000000,41.2,1210
Antigua and Barbuda,ATG,Americas,1991,3,724000000,71.4,6160
Argentina,ARG,Americas,1991,3,267000000000,71.8,3950
Armenia,ARM,Asia,1991,2,7810000000,67.7,
Aruba,ABW,Americas,1991,3,,73.4,
Australia,AUS,Oceania,1991,5,308000000000,77.3,18200
Austria,AUT,Europe,1991,5,159000000000,75.6,21730
Azerbaijan,AZE,Asia,1991,2,40400000000,64.4,
"Bahamas, The",BHS,Americas,1991,4,3980000000,70.8,11300
Bahrain,BHR,Asia,1991,3,12900000000,72.7,9800
Bangladesh,BGD,Asia,1991,1,94520597790,59.1,310
Barbados,BRB,Americas,1991,3,2220000000,71.4,7520
Belarus,BLR,Europe,1991,3,54346307087,70.4,
Belgium,BEL,Europe,1991,5,197000000000,76.2,20700
Belize,BLZ,Americas,1991,2,715000000,71.1,2380
Benin,BEN,Africa,1991,1,5070000000,53.9,380
Bermuda,BMU,Americas,1991,4,1550000000,74.0,27400
Bhutan,BTN,Asia,1991,1,831000000,53.3,500
Bolivia,BOL,Americas,1991,2,17869461061,55.7,740
Bosnia and Herzegovina,BIH,Europe,1991,0,,70.6,
Botswana,BWA,Africa,1991,3,8020000000,61.9,2870
Brazil,BRA,Americas,1991,3,1040000000000,65.7,3250
British Virgin Islands,VGB,Americas,1991,,,,
Brunei Darussalam,BRN,Asia,1991,4,15100000000,73.3,13700
Bulgaria,BGR,Europe,1991,2,42800000000,71.6,1620
Burkina Faso,BFA,Africa,1991,1,5419101285,49.3,360
Burundi,BDI,Africa,1991,1,4130000000,47.8,210
Cabo Verde,CPV,Africa,1991,2,384000000,66.0,900
Cambodia,KHM,Asia,1991,1,,53.8,
Cameroon,CMR,Africa,1991,2,21500000000,53.6,870
Canada,CAN,Americas,1991,5,565000000000,77.6,20700
Cayman Islands,CYM,Americas,1991,,,,
Central African Republic,CAF,Africa,1991,1,1820000000,48.7,460
Chad,TCD,Africa,1991,1,4794667827,47.0,290
Channel Islands,CHI,Europe,1991,4,,75.6,
Chile,CHL,Americas,1991,2,65300000000,73.1,2510
China,CHN,Asia,1991,6,1260000000000,69.2,350
Colombia,COL,Americas,1991,2,176000000000,68.5,1190
Comoros,COM,Africa,1991,1,416000000,57.1,550
"Congo, Dem. Rep.",COD,Africa,1991,1,27100000000,49.2,
"Congo, Rep.",COG,Africa,1991,2,8580000000,54.5,950
Costa Rica,CRI,Americas,1991,2,16515224044,75.8,2350
Cote d'Ivoire,CIV,Africa,1991,2,26200000000,52.2,740
Croatia,HRV,Europe,1991,0,,72.2,
Cuba,CUB,Americas,1991,2,86400000000,74.7,2340
Curacao,CUW,Americas,1991,,,,
Cyprus,CYP,Asia,1991,4,7950000000,76.7,9670
Czech Republic,CZE,Europe,1991,0,119000000000,71.9,
Denmark,DNK,Europe,1991,5,97900000000,75.2,25700
Djibouti,DJI,Africa,1991,2,1170000000,56.8,
Dominica,DMA,Americas,1991,2,321000000,,2390
Dominican Republic,DOM,Americas,1991,2,25500000000,68.4,1030
Ecuador,ECU,Americas,1991,2,53200000000,69.5,1480
"Egypt, Arab Rep.",EGY,Africa,1991,1,229000000000,65.0,730
El Salvador,SLV,Americas,1991,2,16500000000,64.8,950
Equatorial Guinea,GNQ,Africa,1991,1,282000000,48.6,300
